﻿ip,COUNT(ip)
124.115.22.88,573
85.25.124.171,145
200.74.143.50,101
173.201.178.223,87
111.205.113.193,73
42.61.67.66,61
80.242.123.130,53
5.39.218.37,50
185.19.94.207,33
184.168.116.249,32
69.64.95.167,29
209.3.158.175,29
62.141.58.162,29
61.76.168.121,29
88.198.23.174,29
85.25.20.182,29
82.165.134.115,29
82.165.151.97,29
60.248.187.251,29
64.34.165.179,29
198.176.180.111,29
50.63.53.104,29
175.126.82.235,24
222.186.50.215,24
118.193.178.19,21
126.109.185.4,20
58.218.204.248,17
221.229.166.30,16
218.200.188.213,15
58.218.204.245,15
43.255.190.89,14
61.160.221.232,14
58.218.211.190,14
221.229.166.27,14
221.229.166.28,13
222.186.134.98,13
43.255.190.148,13
43.255.190.124,12
222.186.134.94,12
43.255.190.172,12
222.186.58.131,12
43.255.190.153,12
222.186.51.228,12
58.218.204.241,11
58.218.199.49,11
222.186.134.92,11
61.160.213.190,10
43.229.52.183,10
43.255.190.117,10
43.255.190.136,10
43.255.190.152,10
221.229.166.29,10
43.255.190.130,10
43.255.190.133,10
43.255.190.186,10
43.255.190.189,10
222.186.21.209,9
60.173.26.206,9
43.255.190.122,9
43.255.190.125,9
43.255.190.167,9
222.186.134.96,9
43.255.190.123,9
195.3.144.115,9
58.218.213.254,9
43.255.190.191,9
58.218.199.195,9
43.255.190.161,8
58.218.201.17,8
43.255.190.162,8
58.218.201.19,8
43.255.190.165,8
43.255.190.126,8
61.160.212.27,8
43.255.190.160,8
43.255.190.154,8
43.255.190.188,8
43.255.190.144,8
58.218.204.226,8
43.255.190.121,8
59.188.237.12,8
58.221.66.191,8
43.255.190.156,8
43.255.190.119,8
61.166.189.69,8
222.186.134.90,8
43.255.190.118,8
43.255.190.166,7
128.199.68.39,7
43.255.190.164,7
43.255.190.158,7
43.255.190.141,7
61.160.222.76,7
43.255.190.185,7
117.21.174.111,7
61.240.144.65,7
43.255.190.183,7
43.255.190.140,7
43.255.190.90,7
43.255.190.190,7
43.255.190.145,6
43.255.190.138,6
43.229.52.167,6
43.229.52.178,6
43.255.190.146,6
221.229.166.240,6
43.255.190.135,6
221.229.166.254,6
43.255.190.142,6
221.229.166.98,6
43.229.52.193,6
72.32.58.62,6
43.229.52.149,6
175.100.184.245,6
43.255.190.134,6
144.0.0.200,6
43.255.190.143,6
221.229.160.237,5
43.255.190.116,5
43.255.190.139,5
43.255.190.91,5
43.255.190.132,5
61.160.215.103,5
43.255.190.147,5
43.255.190.149,5
43.229.52.171,5
104.171.125.120,5
43.255.190.182,5
178.32.220.134,5
43.255.190.171,5
222.186.21.198,5
43.255.190.93,5
43.255.190.137,5
43.255.190.169,5
43.255.190.184,5
58.218.201.22,4
193.178.236.130,4
189.198.156.86,4
43.255.190.163,4
43.229.52.133,4
46.38.250.168,4
112.216.65.78,4
43.255.190.131,4
123.123.109.236,4
61.160.215.102,4
43.255.190.168,4
61.160.212.21,4
43.255.190.155,4
64.71.150.37,4
222.186.134.93,4
200.141.87.104,4
69.47.173.162,4
221.229.160.222,3
43.255.190.187,3
43.255.190.115,3
113.98.255.48,3
221.6.233.62,3
43.229.52.186,3
218.6.132.45,3
43.229.52.200,3
212.83.150.204,3
43.255.190.151,3
43.229.52.199,3
119.147.137.94,3
43.229.52.154,3
210.51.167.9,3
208.73.200.133,3
222.186.134.86,3
43.229.52.150,3
38.68.17.240,3
222.77.190.33,3
222.186.134.85,3
43.255.190.170,3
105.186.86.162,3
43.229.52.137,3
43.255.190.159,3
